PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Baron Davis,835,28593,13447,4888,11951,40.9,1332,4159,32,2339,3292,71.1,762,2421,3183,6025,1530,360,2308,46.5,50.2
Al Horford,881,28593,12288,5159,9972,51.7,520,1427,36.4,1450,1920,75.5,1827,5415,7242,2912,713,1034,1373,54.3,56.8
Mike Conley,886,28561,13235,4698,10691,43.9,1320,3485,37.9,2519,3069,82.1,409,2246,2655,5022,1267,176,1777,50.1,55
Grant Long,"1,003",28518,9518,3472,7440,46.7,83,293,28.3,2491,3272,76.1,2168,3986,6154,1716,1199,366,1628,47.2,53.6
Herb Williams,"1,102",28484,11944,5037,10781,46.7,8,84,9.5,1862,2675,69.6,1624,4885,6509,1856,605,1605,1929,46.8,49.9
Johnny Newman,"1,159",28438,12740,4456,9671,46.1,600,1786,33.6,3228,3984,81,950,1586,2536,1688,1064,246,1656,49.2,55.8
James Edwards,"1,168",28356,14862,5802,11724,49.5,1,21,4.8,3257,4666,69.8,1804,4200,6004,1499,420,867,1931,49.5,53.9
Caron Butler,881,28332,12430,4596,10592,43.4,746,2144,34.8,2492,2942,84.7,1103,3284,4387,2007,1163,216,1594,46.9,52.3
Bob McAdoo,852,28327,18787,7420,14751,50.3,3,37,8.1,3944,5229,75.4,1818,5502,8048,1951,751,1147,1223,50.3,55.1
Allan Houston,839,28310,14551,5337,12017,44.4,1305,3247,40.2,2572,2979,86.3,353,2081,2434,1990,566,139,1760,49.8,54.6
Jerome Kersey,"1,153",28114,11825,4723,10166,46.5,58,288,20.1,2321,3364,69,2330,4009,6339,2134,1439,799,1583,46.7,50.8
Antonio McDyess,"1,015",28053,12227,5046,10161,49.7,7,60,11.7,2128,3178,67,2478,5160,7638,1300,782,1102,1623,49.7,52.9
Al Harrington,981,28003,13237,5028,11318,44.4,977,2778,35.2,2204,3030,72.7,1495,3987,5482,1649,858,246,1838,48.7,52.3
Jalen Rose,923,27925,13220,4852,10945,44.3,746,2102,35.5,2770,3457,80.1,491,2702,3193,3527,729,315,2102,47.7,53
Rajon Rondo,918,27873,9151,3818,8340,45.8,418,1296,32.3,1097,1800,60.9,895,3346,4241,7414,1488,119,2518,48.3,50.1
Mike Miller,"1,032",27817,10973,4016,8747,45.9,1590,3910,40.7,1351,1757,76.9,632,3744,4376,2666,573,229,1561,55,57.6
Johnny Kerr,905,27784,12480,4909,11751,41.8,-,-,-,2662,3682,72.3,-,-,10092,2004,-,-,-,41.8,46.7
Mychal Thompson,935,27764,12810,5191,10306,50.4,1,12,8.3,2427,3707,65.5,2229,4722,6951,2141,701,1073,2104,50.4,53.7
Danny Ainge,"1,042",27755,11964,4643,9905,46.9,1002,2651,37.8,1676,1980,84.6,695,2073,2768,4199,1133,132,1566,51.9,55.5
Clar. Weatherspoon,915,27737,10483,4025,8537,47.1,10,51,19.6,2423,3261,74.3,2126,4720,6846,1346,880,794,1430,47.2,52.6
Mark Aguirre,923,27730,18458,7201,14865,48.4,392,1258,31.2,3664,4944,74.1,1704,2874,4578,2871,687,296,2306,49.8,54.2
Tyrone Corbin,"1,065",27659,9766,3918,8584,45.6,198,663,29.9,1732,2191,79.1,1726,3320,5046,1894,1228,270,1310,46.8,51.1
Cuttino Mobley,747,27619,11964,4319,9979,43.3,1085,2867,37.8,2241,2684,83.5,543,2359,2902,2015,878,313,1520,48.7,53.6
Leroy Ellis,"1,048",27520,10176,4143,9378,44.2,-,-,-,1890,2595,72.8,534,1060,8709,1405,146,151,-,44.2,48.4
Bill Cartwright,963,27491,12713,4656,8868,52.5,0,2,0,3401,4412,77.1,1812,4294,6106,1390,460,668,1892,52.5,58.8
Richie Guerin,848,27449,14676,5174,12451,41.6,-,-,-,4328,5549,78,-,-,4278,4211,-,-,-,41.6,49.3
Stephen Jackson,858,27397,12976,4604,11112,41.4,1252,3763,33.3,2516,3154,79.8,674,2654,3328,2634,1109,317,2141,47.1,51.9
Jermaine O'Neal,"1,011",27368,13309,5144,11025,46.7,14,95,14.7,3007,4208,71.5,1991,5270,7261,1369,470,1820,1872,46.7,51.7
Mike Dunleavy,986,27339,11048,3935,8926,44.1,1304,3460,37.7,1874,2333,80.3,698,3513,4211,2185,719,324,1369,51.4,55.5
Jamaal Wilkes,828,27275,14644,6226,12471,49.9,7,52,13.5,2185,2878,75.9,1627,3490,5117,2050,1049,262,1211,50,53.3
Norm Nixon,768,27250,12065,5219,10805,48.3,100,340,29.4,1527,1978,77.2,473,1518,1991,6386,1187,71,2368,48.8,51.7
Derrick McKey,937,27226,10266,3908,8048,48.6,203,642,31.6,2247,2885,77.9,1515,2872,4387,2254,1072,611,1713,49.8,55.1
Alvan Adams,988,27203,13910,5709,11464,49.8,2,15,13.3,2490,3160,78.8,2015,4922,6937,4012,1289,808,2194,49.8,54.1
Kurt Thomas,"1,110",27160,8973,3836,7894,48.6,9,32,28.1,1292,1701,76,1922,5406,7328,1204,724,841,1241,48.7,51.9
